Year,Production_%,Annual_Revenue,Annual_Cost,Annual_Profit,Cumulative_Cashflow,Status
0,0.0,0.0,232067510.54852322,-232067510.54852322,-1171659634.3178623, Initial Investment
1,0.0,0.0,232067510.54852322,-232067510.54852322,-1403727144.8663855, Establishment Phase (No Revenue)
2,0.0,0.0,232067510.54852322,-232067510.54852322,-1635794655.4149086, Establishment Phase (No Revenue)
3,10.0,123206751.05485232,232067510.54852322,-108860759.4936709,-1744655414.9085796, Early Production
4,50.0,616033755.2742616,232067510.54852322,383966244.7257384,-1360689170.1828413, Early Production
5,80.0,985654008.4388186,232067510.54852322,753586497.8902954,-607102672.2925459, Building to Target
6,95.0,1170464135.021097,232067510.54852322,938396624.4725738,331293952.18002784, Building to Target
7,100.0,1232067510.5485232,232067510.54852322,1000000000.0,1331293952.180028, ₦1B TARGET ACHIEVED!
8,100.0,1232067510.5485232,232067510.54852322,1000000000.0,2331293952.180028, Full Production
9,100.0,1232067510.5485232,232067510.54852322,1000000000.0,3331293952.180028, Full Production
10,100.0,1232067510.5485232,232067510.54852322,1000000000.0,4331293952.180028, Full Production
